"","degree","closeness","betweenness"
"costa, m.",13,0.000879507475813544,15.40729111131
"domijan, m.",13,0.000879507475813544,15.40729111131
"dunican, d. j.",13,0.000952380952380952,1.22629416157663
"finkenstadt, b.",13,0.000879507475813544,15.40729111131
"foreman, j.",13,0.000879507475813544,15.40729111131
"gould, p. d.",13,0.000879507475813544,15.40729111131
"griffiths, j.",13,0.000879507475813544,15.40729111131
"hall, a. j.",13,0.000879507475813544,15.40729111131
"hanlon, n.",13,0.00100502512562814,41.546915776459
"harrison, d. j.",13,0.000802568218298555,14.0823624171182
"kelleher, d.",13,0.000952380952380952,1.22629416157663
"kennedy, c. j.",13,0.000952380952380952,1.22629416157663
"loewe, l.",13,0.000841042893187553,267.697826355508
"long, a.",13,0.000952380952380952,1.22629416157663
"macgregor, d.",13,0.000879507475813544,15.40729111131
"penfield, s.",13,0.000879507475813544,15.40729111131
"rose, k.",13,0.000879507475813544,15.40729111131
"santoyo-lopez, j.",13,0.000952380952380952,1.22629416157663
"selfors, l. m.",13,0.000952380952380952,1.22629416157663
"shamu, c. e.",13,0.000952380952380952,1.22629416157663
"shanks, e.",13,0.000952380952380952,1.22629416157663
"smith, q.",13,0.000952380952380952,1.22629416157663
"ugarte, n.",13,0.000879507475813544,15.40729111131
"wrobel, d.",13,0.000952380952380952,1.22629416157663
"alves fde, l.",12,0.0294117647058824,1.78710635769459
"barrios-llerena, m. e.",12,0.000925925925925926,662.03408098649
"deighton, r. f.",12,0.000824402308326463,109.617424242424
"dichtl, b.",12,0.000698812019566737,5.13333333333333
"fukagawa, t.",12,0.0294117647058824,1.78710635769459
"hudson, d. f.",12,0.0294117647058824,1.78710635769459
"karkusiewicz, i.",12,0.000698812019566737,5.13333333333333
"koper, m.",12,0.000698812019566737,5.13333333333333
"kozma-bognar, l.",12,0.000848896434634975,84.7786169344171
"kufel, j.",12,0.000698812019566737,5.13333333333333
"mariconti, l.",12,0.000698812019566737,5.13333333333333
"mazein, a.",12,0.00088809946714032,74.7174921868729
"mcculloch, j.",12,0.000824402308326463,109.617424242424
"obtulowicz, t.",12,0.000698812019566737,5.13333333333333
"page, d.",12,0.000875656742556918,91.0190021164472
"platani, m.",12,0.0294117647058824,1.78710635769459
"ponting, c. p.",12,0.0294117647058824,1.78710635769459
"sanchez-pulido, l.",12,0.0294117647058824,1.78710635769459
"buchen, c.",11,0.0285714285714286,0.51437908496732
"craig, k.",11,0.000728862973760933,40.6470588235294
"cramer, p.",11,0.0285714285714286,0.51437908496732
"dixon, l. e.",11,0.000728332119446468,24.6240954607647
"faratian, d.",11,0.000746825989544436,1.8915227516933
"feechan, a.",11,0.000727802037845706,0
"garcia-ramirez, j. j.",11,0.00100908173562059,6.32526947351653
"hansen, c.",11,0.000728862973760933,40.6470588235294
"jawhari, a.",11,0.0285714285714286,0.51437908496732
"kamenski, t.",11,0.0285714285714286,0.51437908496732
"kang, j. g.",11,0.000727802037845706,0
"kwon, e.",11,0.000727802037845706,0
"lariviere, l.",11,0.0285714285714286,0.51437908496732
"lisnic, v. j.",11,0.00100908173562059,6.32526947351653
"liu, q.",11,0.000728862973760933,40.6470588235294
"loake, g. j.",11,0.000727802037845706,0
"lopez-campos, g. h.",11,0.00100908173562059,6.32526947351653
"messerle, m.",11,0.00100908173562059,6.32526947351653
"moore, j. w.",11,0.000727802037845706,0
"mullen, p.",11,0.000746825989544436,1.8915227516933
"nilges, m.",11,0.0285714285714286,0.51437908496732
"orlicky, s.",11,0.000728862973760933,40.6470588235294
"pallas, j. a.",11,0.000727802037845706,0
"quiring, a.",11,0.000728862973760933,40.6470588235294
"rasmussen, m.",11,0.0285714285714286,0.51437908496732
"ricicova, m.",11,0.000728862973760933,40.6470588235294
"ross, a.",11,0.00100908173562059,6.32526947351653
"saidi, n. b.",11,0.000727802037845706,0
"sicheri, f.",11,0.000728862973760933,40.6470588235294
"spoel, s. h.",11,0.000727802037845706,0
"tahir, s.",11,0.0285714285714286,0.51437908496732
"tang, x.",11,0.000728862973760933,40.6470588235294
"tekotte, h.",11,0.000728862973760933,40.6470588235294
"trgovcich, j.",11,0.00100908173562059,6.32526947351653
"yin, m.",11,0.000727802037845706,0
"yu, m.",11,0.000727802037845706,0
"yun, b. w.",11,0.000727802037845706,0
"alba, m. m.",10,0.000912408759124088,23.375190997942
"bellora, n.",10,0.000912408759124088,23.375190997942
"brown, p. e.",10,0.000793021411578113,2.07043003436192
"de graaf, m.",10,0.000912408759124088,23.375190997942
"gibbs, h.",10,0.000998003992015968,275.056161041444
"hoffmann, r.",10,0.000961538461538462,29.3715936297053
"kay, c.",10,0.000867302688638335,54.1722616741193
"koszinowski, u. h.",10,0.000961538461538462,29.3715936297053
"langdon, s.",10,0.000867302688638335,54.1722616741193
"lumsden, p. j.",10,0.000927643784786642,87.7722824258967
"mages, j.",10,0.000961538461538462,29.3715936297053
"moraru, ii",10,0.000846023688663283,16.3578929770226
"nagy, f.",10,0.000927643784786642,87.7722824258967
"prazeres da costa, o.",10,0.000912408759124088,23.375190997942
"radle, b.",10,0.000961538461538462,29.3715936297053
"rutkowski, a. j.",10,0.000912408759124088,23.375190997942
"thomson, a. w.",10,0.000927643784786642,87.7722824258967
"trilling, m.",10,0.000912408759124088,23.375190997942
"um, i. h.",10,0.000867302688638335,54.1722616741193
"zimmer, r.",10,0.000961538461538462,29.3715936297053
"awad, t.",9,0.000965250965250965,31.52816907024
"bouget, f. y.",9,0.000709219858156028,3.50347684930483
"gardano, l.",9,0.000578368999421631,7.5
"gliddon, c. m.",9,0.000881057268722467,39.6590533413488
"horsburgh, k.",9,0.000881057268722467,39.6590533413488
"james, r.",9,0.000881057268722467,39.6590533413488
"langdon, s. p.",9,0.000854700854700855,102.066494805292
"maerki, s.",9,0.000727802037845706,40.6470588235294
"olma, m. h.",9,0.000727802037845706,40.6470588235294
"peter, m.",9,0.000727802037845706,40.6470588235294
"pintard, l.",9,0.000727802037845706,40.6470588235294
"povey, j.",9,0.000881057268722467,39.6590533413488
"quadroni, m.",9,0.000727802037845706,40.6470588235294
"roy, m.",9,0.000727802037845706,40.6470588235294
"searcy, j. l.",9,0.000881057268722467,39.6590533413488
"storm, p.",9,0.000965250965250965,31.52816907024
"sumara, i.",9,0.000727802037845706,40.6470588235294
"chirnside, e. s.",8,0.00102145045965271,1814.52462591465
"ciocchetta, f.",8,0.000832639467110741,502.876184673762
"shliaha, p. v.",8,0.00102145045965271,1814.52462591465
"southern, m. m.",8,0.000800640512409928,27.7097934710626
"adams, r. r.",7,0.000973709834469328,29.9405772604004
"auboeuf, d.",7,0.000750187546886722,7.22145224056989
"basyuk, e.",7,0.000750187546886722,7.22145224056989
"corellou, f.",7,0.000677966101694915,0
"fernandez, a. p.",7,0.000830564784053156,35.9176526008983
"garcia-garcia, j.",7,0.000931098696461825,5.51005727565736
"granneman, s.",7,0.000517063081695967,4
"guney, e.",7,0.000931098696461825,5.51005727565736
"hambley, m.",7,0.000946969696969697,1.22629416157663
"hill, j.",7,0.000946969696969697,1.22629416157663
"juty, n.",7,0.000973709834469328,29.9405772604004
"mewissen, m.",7,0.000946969696969697,1.22629416157663
"oliva, b.",7,0.000931098696461825,5.51005727565736
"planas-iglesias, j.",7,0.000931098696461825,5.51005727565736
"scharinger, f.",7,0.000946969696969697,1.22629416157663
"schmidt, u.",7,0.000750187546886722,7.22145224056989
"sloan, t. m.",7,0.000946969696969697,1.22629416157663
"stratford, k.",7,0.000973709834469328,29.9405772604004
"trew, a.",7,0.000946969696969697,1.22629416157663
"villemin, j. p.",7,0.000750187546886722,7.22145224056989
"yoshida, m.",7,0.000750187546886722,7.22145224056989
"amin, n.",6,0.000725689404934688,39.3333333333337
"badouel, c.",6,0.000725689404934688,39.3333333333337
"chen, z.",6,0.025,1.33155080213904
"de lima alves, f.",6,0.025,1.33155080213904
"enright, a. j.",6,0.000930232558139535,25.9137395760265
"garg, a.",6,0.000725689404934688,39.3333333333337
"mcneill, h.",6,0.000725689404934688,39.3333333333337
"rosenfeld, r.",6,0.000725689404934688,39.3333333333337
"allerhand, m.",5,0.000838222967309304,10.328037298568
"binns, n.",5,0.00103626943005181,113.712344428091
"bohnsack, m. t.",5,0.000515995872033024,0
"carre, i.",5,0.000917431192660551,21.1016718368996
"daly, r.",5,0.000917431192660551,4.11860101225149
"duguid, a.",5,0.000714285714285714,3.90866746025223
"dyrlund, t. f.",5,0.000730994152046784,0
"falkenberg, h.",5,0.000730994152046784,0
"girolami, m.",5,0.000917431192660551,4.11860101225149
"khoudoli, g. a.",5,0.000730994152046784,0
"linding, r.",5,0.000730994152046784,0
"locke, j. c.",5,0.000917431192660551,21.1016718368996
