"","degree","closeness","betweenness"
"Ibrahim S.S.",6,0.05,1.25
"Lohse K.",6,0.032258064516129,6.16666666666667
"Luo Y.",6,0.00178571428571429,0
"Marques C.A.",6,0.166666666666667,2
"Martin J.",6,0.00900900900900901,1.66666666666667
"Martin S.H.",6,0.04,42.6666666666667
"Messner C.B.",6,0.166666666666667,4.33333333333333
"Njuguna J.",6,0.0434782608695652,1.66666666666667
"Pemberton J.M.",6,0.027027027027027,52
"Rosser S.J.",6,0.03125,19
"Vengesai A.",6,0.1,0.5
"Vila R.",6,0.032258064516129,6.16666666666667
"Wei Y.-T.",6,0.00129198966408269,0.1
"Wondji M.J.",6,0.05,1.33333333333333
"Zhao C.-L.",6,0.00147058823529412,162.566666666666
"Grassly N.C.",6,0.00900900900900901,1.66666666666667
"Waterfield N.R.",6,0.166666666666667,0.7
"McCulloch R.",6,0.166666666666667,2
"Agmon N.",5,0.00158730158730159,0
"Astrakhantseva I.V.",5,0.2,0
"Baillie L.",5,0.142857142857143,0.2
"Brooks A.N.",5,0.00151057401812689,0
"Chuvpilo S.A.",5,0.2,0
"Gerbe F.",5,0.0227272727272727,0
"Kasambala M.",5,0.0909090909090909,0
"Koszul R.",5,0.00158982511923688,0.916666666666667
"Kustatscher G.",5,0.142857142857143,2
"Layton-Matthews K.",5,0.0078125,36.8333333333333
"Lemey P.",5,0.00917431192660551,106.5
"Logunova L.",5,0.0769230769230769,1.5
"Loney C.",5,0.2,1.16666666666667
"Lowe A.E.",5,0.0769230769230769,0.25
"Manoharan S.",5,0.142857142857143,0.5
"Mduluza-Jokonya T.L.",5,0.0909090909090909,0
"Mugenzi L.M.J.",5,0.0476190476190476,0.25
"Ndodo N.",5,0.00917431192660551,82.3333333333333
"Nussey D.H.",5,0.03125,72
"Oyston P.C.F.",5,0.142857142857143,0.2
"Rybtsov S.A.",5,0.2,0
"Shevyrev D.V.",5,0.2,0
"Shumeev A.N.",5,0.2,0
"Spedding M.",5,0.0434782608695652,0
"Swidah R.",5,0.0017825311942959,0
"Tagawa T.",5,0.2,3
"Taylor-Joyce G.",5,0.142857142857143,0.5
"Tekoh T.A.",5,0.0476190476190476,0.25
"Tong C.",5,0.00129032258064516,0.1
"Weedall G.D.",5,0.0476190476190476,0.25
"Yang K.",5,0.00158982511923688,0
"Zheng P.",5,0.00146842878120411,0.25
"Nedospasov S.A.",5,0.2,0
"Ross L.",5,0.0357142857142857,40
"Jay P.",5,0.0227272727272727,0
"Maizels R.M.",5,0.0232558139534884,16
"Ramamoorthy S.",5,0.2,7
"Hutchinson E.",5,0.2,1.16666666666667
"Ziegelbauer J.M.",5,0.2,3
"Zhang H.-J.",5,0.00146842878120411,99.6333333333334
"Abbassi N.-E.-H.",4,0.00125786163522013,0
"Blount B.A.",4,0.00150829562594268,16.6574786324786
"Boyd E.",4,0.04,0
"Butler A.",4,0.00769230769230769,0
"Chan B.H.K.",4,0.1,1.5
"Chen R.-S.",4,0.00146412884333821,0
"Cockell C.",4,0.25,0
"Cuesta-Porta V.",4,0.25,0
"Daussin A.",4,0.25,0
"Demichev V.",4,0.125,0.333333333333333
"Devlin R.",4,0.166666666666667,0.333333333333333
"Fenn J.",4,0.0714285714285714,0
"Gadji M.",4,0.0454545454545455,0
"Hapeshi A.",4,0.125,0.2
"Huang L.",4,0.00150602409638554,0
"Ihekweazu C.",4,0.00666666666666667,0.333333333333333
"Jin Z.",4,0.00146627565982405,0.333333333333333
"Johnston S.E.",4,0.0208333333333333,30
"Lewandowski K.",4,0.00909090909090909,41
"Liang Z.",4,0.00150602409638554,0
"Mackintosh A.",4,0.0303030303030303,0
"Melika G.",4,0.25,0
"Menze B.D.",4,0.0454545454545455,0
"Muhammad A.",4,0.0454545454545455,0
"Muir A.",4,0.0714285714285714,0
"Muleya V.",4,0.0833333333333333,0
"Muturi M.",4,0.0454545454545455,4.33333333333333
"Nicholls J.A.",4,0.25,0
"Obbard DJ",4,0.25,0
"Oyugi J.",4,0.0454545454545455,0
"Pan L.-T.",4,0.001194743130227,2.1
"Pilkington J.G.",4,0.024390243902439,0
"Ravindran S.",4,0.024390243902439,0
"Setter D.",4,0.0303030303030303,0
"Shaw A.G.",4,0.00884955752212389,0
"Sims A.",4,0.166666666666667,0.333333333333333
"Stone G.N.",4,0.25,0
"Tchouakui M.",4,0.0454545454545455,0
"Tree of Life Core Informatics collective",4,0.25,0
"Troman C.",4,0.00884955752212389,0
"Vannier P.",4,0.25,0
"Vohra P.",4,0.166666666666667,4.5
"Wang L.",4,0.00145985401459854,0
"Wang Q.",4,0.00146627565982405,0
"Wellcome Sanger Institute Scientific Operations: DNA Pipelines collective",4,0.25,0
"Wellcome Sanger Institute Tree of Life programme",4,0.25,0
"Wolfenden A.",4,0.0714285714285714,0
"Wu S.",4,0.00146627565982405,0
"Xu C.-Y.",4,0.00146412884333821,0
"Ye J.",4,0.00145985401459854,0
"Zhang J.",4,0.00213219616204691,8059
"Zhao C.",4,0.00145985401459854,0
"Šantl-Temkiv T.",4,0.25,0
"Burgess K.",4,0.25,3
"Cirillo J.D.",4,0.25,6
"Ellis T.",4,0.0012853470437018,0.5
"Osman A.M.",4,0.04,0
"Stevens M.P.",4,0.166666666666667,4.5
"Wang B.",4,0.25,5
"Zhang J.-J.",4,0.00146412884333821,0
"Marteinsson V.Þ.",4,0.25,0
"Pujade-Villar J.",4,0.25,0
"Masden E.",4,0.00775193798449612,65
"Ralser M.",4,0.125,0.333333333333333
"Adetifa I.",4,0.00666666666666667,0.333333333333333
"Halim M.",4,0.037037037037037,38
"Bukania Z.",4,0.0454545454545455,0
"Froy H.",4,0.024390243902439,0
"Darwin Tree of Life Consortium.",4,0.25,0
"Akello J.O.",3,0.0087719298245614,0
"Anker-Nilssen T.",3,0.00769230769230769,28.1666666666667
"Arnold S.A.",3,0.2,0
"Ball A.D.",3,0.2,4
"Bennett S.",3,0.00763358778625954,0
"Beraldi D.",3,0.111111111111111,0
"Bhaskar H.",3,0.0285714285714286,0
"Briggs E.M.",3,0.111111111111111,0
"Bujaki E.",3,0.0087719298245614,0
